code,level,classificationName,
2521,4,"Tillverkning av radiatorer, ånggeneratorer och pannor för centraluppvärmning",
25210,5,"Tillverkning av radiatorer, ånggeneratorer och pannor för centraluppvärmning",
2522,4,"Tillverkning av andra cisterner, tankar, kar och andra behållare av metall",
25220,5,"Tillverkning av andra cisterner, tankar, kar och andra behållare av metall",
253,3,Tillverkning av vapen och ammunition,
2530,4,Tillverkning av vapen och ammunition,
25300,5,Tillverkning av vapen och ammunition,
254,3,Smidning och formning av metall och pulvermetallurgi,
2540,4,Smidning och formning av metall och pulvermetallurgi,
25400,5,Smidning och formning av metall och pulvermetallurgi,
255,3,Beläggning och överdragning av metall; metallegoarbeten,
2551,4,Beläggning och överdragning av metall,
25510,5,Beläggning och överdragning av metall,
2552,4,Värmebehandling av metall,
25520,5,Värmebehandling av metall,
2553,4,Metallegoarbeten,
25530,5,Metallegoarbeten,
256,3,"Tillverkning av bestick, verktyg och andra järnhandelsvaror",
2561,4,Tillverkning av bestick,
25610,5,Tillverkning av bestick,
2562,4,Tillverkning av lås och gångjärn,
25620,5,Tillverkning av lås och gångjärn,
2563,4,Tillverkning av verktyg och redskap,
25630,5,Tillverkning av verktyg och redskap,
259,3,Annan metallvarutillverkning,
2591,4,Tillverkning av stålfat o.d. behållare,
25910,5,Tillverkning av stålfat o.d. behållare,
2592,4,Tillverkning av lättmetallförpackningar,
25920,5,Tillverkning av lättmetallförpackningar,
2593,4,"Tillverkning av metalltrådvaror, kedjor och fjädrar",
25930,5,"Tillverkning av metalltrådvaror, kedjor och fjädrar",
2594,4,Tillverkning av nitar och skruvar,
25940,5,Tillverkning av nitar och skruvar,
2599,4,Diverse övrig metallvarutillverkning,
25990,5,Diverse övrig metallvarutillverkning,
26,2,"Tillverkning av datorer, elektronikvaror och optik",
261,3,Tillverkning av elektroniska komponenter och kretskort,
2611,4,Tillverkning av elektroniska komponenter,
26110,5,Tillverkning av elektroniska komponenter,
2612,4,Tillverkning av kretskort,
26120,5,Tillverkning av kretskort,
262,3,Tillverkning av datorer och kringutrustning,
2620,4,Tillverkning av datorer och kringutrustning,
26200,5,Tillverkning av datorer och kringutrustning,
263,3,Tillverkning av kommunikationsutrustning,
2630,4,Tillverkning av kommunikationsutrustning,
26300,5,Tillverkning av kommunikationsutrustning,
264,3,Tillverkning av hemelektronik,
2640,4,Tillverkning av hemelektronik,
26400,5,Tillverkning av hemelektronik,
265,3,Tillverkning av instrument för mätning och provning samt ur,
2651,4,"Tillverkning av instrument och apparater för mätning, provning och navigering",
26510,5,"Tillverkning av instrument och apparater för mätning, provning och navigering",
2652,4,Urtillverkning,
26520,5,Urtillverkning,
266,3,Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning,
2660,4,Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning,
26600,5,Tillverkning av strålningsutrustning samt elektromedicinsk och elektroterapeutisk utrustning,
267,3,"Tillverkning av optiska instrument, magnetiska och optiska medier samt fotoutrustning",
